ID_Venda;valor
768805940;716
768805941;522
768805942;891
768805943;232
768805944;413
768805945;307
768805946;956
768805947;155
768805948;663
768805949;380
768805950;245
768805951;994
768805952;894
768805953;463
768805954;723
768805955;179
768805956;556
768805957;139
768805958;278
768805959;484
768805960;782
768805961;701
768805962;299
768805963;435
768805964;310
768805965;317
768805966;394
768805967;796
768805968;530
768805969;149
768805970;219
768805971;987
768805972;373
768805973;773
768805974;927
768805975;839
768805976;683
768805977;741
768805978;485
768805979;683
768805980;889
768805981;907
768805982;812
768805983;655
768805984;222
768805985;414
768805986;161
768805987;972
768805988;818
768805989;516
